second,Volt
+13.51562E-09,+4.40043262037216E+00
+13.59375E-09,+4.40043262037216E+00
+13.67187E-09,+4.40043262037216E+00
+13.75000E-09,+4.40043262037216E+00
+13.82812E-09,+4.40043262037216E+00
+13.90625E-09,+4.40043262037216E+00
+13.98437E-09,+4.40043262037216E+00
+14.06250E-09,+4.40043262037216E+00
+14.14062E-09,+4.40043262037216E+00
+14.21875E-09,+4.40043262037216E+00
+14.29687E-09,+4.40043262037216E+00
+14.37500E-09,+4.40043262037216E+00
+14.45312E-09,+4.40043262037216E+00
+14.53125E-09,+4.40043262037216E+00
+14.60937E-09,+4.40043262037216E+00
+14.68750E-09,+4.40043262037216E+00
+14.76562E-09,+4.40043262037216E+00
+14.84375E-09,+4.40043262037216E+00
+14.92187E-09,+4.40043262037216E+00
+15.00000E-09,+4.40043262037216E+00
+15.07812E-09,+4.40043262037216E+00
+15.15625E-09,+4.40043262037216E+00
+15.23437E-09,+4.40043262037216E+00
+15.31250E-09,+4.40043262037216E+00
+15.39062E-09,+4.40043262037216E+00
+15.46875E-09,+4.40043262037216E+00
+15.54687E-09,+4.40043262037216E+00
+15.62500E-09,+4.40043262037216E+00
+15.70312E-09,+4.40043262037216E+00
+15.78125E-09,+4.40043262037216E+00
+15.85937E-09,+4.40043262037216E+00
+15.93750E-09,+4.40043262037216E+00
+16.01562E-09,+4.40043262037216E+00
+16.09375E-09,+4.40043262037216E+00
+16.17187E-09,+4.40043262037216E+00
+16.25000E-09,+4.40043262037216E+00
+16.32812E-09,+4.40043262037216E+00
+16.40625E-09,+4.40043262037216E+00
+16.48437E-09,+4.40043262037216E+00
+16.56250E-09,+4.40043262037216E+00
+16.64062E-09,+4.40043262037216E+00
+16.71875E-09,+4.40043262037216E+00
+16.79687E-09,+4.40043262037216E+00
+16.87500E-09,+4.40043262037216E+00
+16.95312E-09,+4.40043262037216E+00
+17.03125E-09,+4.40043262037216E+00
+17.10937E-09,+4.40043262037216E+00
+17.18750E-09,+4.40043262037216E+00
+17.26562E-09,+4.40043262037216E+00
+17.34375E-09,+4.40043262037216E+00
+17.42187E-09,+4.40043262037216E+00
+17.50000E-09,+4.40043262037216E+00
+17.57812E-09,+4.40043262037216E+00
+17.65625E-09,+4.40043262037216E+00
+17.73437E-09,+4.40043262037216E+00
+17.81250E-09,+4.40043262037216E+00
+17.89062E-09,+4.40043262037216E+00
+17.96875E-09,+4.40043262037216E+00
+18.04687E-09,+4.40043262037216E+00
+18.12500E-09,+4.40043262037216E+00
+18.20312E-09,+4.40043262037216E+00
+18.28125E-09,+4.40043262037216E+00
+18.35937E-09,+4.40043262037216E+00
+18.43750E-09,+4.40043262037216E+00
+18.51562E-09,+4.40043262037216E+00
+18.59375E-09,+4.40043262037216E+00
+18.67187E-09,+4.40043262037216E+00
+18.75000E-09,+4.40043262037216E+00
+18.82812E-09,+4.40043262037216E+00
+18.90625E-09,+4.40043262037216E+00
+18.98437E-09,+4.40043262037216E+00
+19.06250E-09,+4.40043262037216E+00
+19.14062E-09,+4.40043262037216E+00
+19.21875E-09,+4.40043262037216E+00
+19.29687E-09,+4.40043262037216E+00
+19.37500E-09,+4.40043262037216E+00
+19.45312E-09,+4.40043262037216E+00
+19.53125E-09,+4.40043262037216E+00
+19.60937E-09,+4.40043262037216E+00
+19.68750E-09,+4.40043262037216E+00
+19.76562E-09,+4.40043262037216E+00
+19.84375E-09,+4.40043262037216E+00
